Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
3479,S12,T2,18.397,17.518,13.136,16.35033333,
3480,S12,T2,11.695,12.38,9.103,11.05933333,
3481,S12,T2,1.197,1.436,1.27,1.301,
3482,S12,T2,50.158,37.034,33.744,40.312,
3483,S12,T2,3.1,3.546,2.581,3.075666667,
3484,S12,T2,1.909,1.579,0.914,1.467333333,
3485,S12,T2,1.322,0.98,0.842,1.048,
3486,S12,T2,1.534,1.339,0.861,1.244666667,
3487,S12,T2,1.067,0.977,0.954,0.999333333,
3488,S12,T2,150,150,150,150,do not have the full colonie on the pic
3489,S12,T2,9.65,8.984,7.695,8.776333333,
3490,S12,T2,2.733,3.174,2.321,2.742666667,
3491,S12,T2,2.298,2.072,1.615,1.995,
3492,S12,T2,23.024,27.658,13.838,21.50666667,
3493,S12,T2,3.294,2.173,3.184,2.883666667,
3494,S12,T2,1.923,1.626,0.858,1.469,
3500,S12,T2,5.13,4.087,2.986,4.067666667,
3502,S12,T2,1.168,1.182,0.822,1.057333333,
3503,S12,T2,4.464,4.221,3.196,3.960333333,
3505,S12,T2,1.552,1.71,1.302,1.521333333,
3521,S12,T2,1.653,1.374,1.01,1.345666667,
3522,S12,T2,150,150,150,150,do not have the full colonie on the pic
3525,S12,T2,1.788,2.147,1.409,1.781333333,
3526,S12,T2,150,150,150,150,do not have the full colonie on the pic
3527,S12,T2,1.532,1.792,1.377,1.567,
3528,S12,T2,0.539,0.405,0.354,0.432666667,
3529,S12,T2,13.45,13.086,9.959,12.165,
3530,S12,T2,2.138,1.522,1.452,1.704,
3552,S12,T2,2.063,2.057,1.373,1.831,
3651,S12,T2,15.418,14.956,13.912,14.762,
3652,S12,T2,0.859,0.865,0.749,0.824333333,
3653,S12,T2,8.043,6.616,4.812,6.490333333,
3654,S12,T2,1.1,1.068,1.077,1.081666667,
3655,S12,T2,10.013,9.769,6.385,8.722333333,
3656,S12,T2,3.762,3.949,3.537,3.749333333,
3657,S12,T2,1.879,1.9,1.132,1.637,
3658,S12,T2,8.786,7.78,7.062,7.876,
3659,S12,T2,10.462,9.098,3.275,7.611666667,
3660,S12,T2,1.363,1.698,1.091,1.384,
3661,S12,T2,1.979,2.155,1.793,1.975666667,
3662,S12,T2,1.027,1.412,0.736,1.058333333,
3664,S12,T2,0.778,0.659,0.386,0.607666667,
3665,S12,T2,0.98,0.897,1.023,0.966666667,
3666,S12,T2,1.623,1.624,1.119,1.455333333,
3667,S12,T2,15.232,15.085,14.211,14.84266667,
3668,S12,T2,18.065,17.493,12.313,15.957,
3669,S12,T2,29.917,31.877,21.723,27.839,
3670,S12,T2,28.224,18.885,24.577,23.89533333,
3671,S12,T2,3.066,3.136,1.838,2.68,
3672,S12,T2,4.651,4.618,2.716,3.995,
3673,S12,T2,21.377,20.234,14.106,18.57233333,
3674,S12,T2,7.3,5.685,3.779,5.588,
3675,S12,T2,15.663,15.569,12.488,14.57333333,
3676,S12,T2,22.083,25.017,13.991,20.36366667,
3677,S12,T2,4.247,3.712,2.747,3.568666667,
3678,S12,T2,3.542,3.35,2.952,3.281333333,
3679,S12,T2,13.598,18.564,15.766,15.976,
3680,S12,T2,26.964,23.883,13.889,21.57866667,
2912,S12,T3,1.261,1.359,1.202,1.274,
2914,S12,T3,1.291,1.17,0.745,1.068666667,
2915,S12,T3,46.717,38.355,38.067,41.04633333,
2916,S12,T3,4.195,3.933,4.407,4.178333333,
2917,S12,T3,11.829,13.759,10.404,11.99733333,
2918,S12,T3,2.168,1.655,1.547,1.79,
2919,S12,T3,2.805,2.895,2.213,2.637666667,
2920,S12,T3,2.339,2.343,1.814,2.165333333,
2921,S12,T3,1.575,1.742,0.384,1.233666667,
2924,S12,T3,0.615,0.704,0.426,0.581666667,
2925,S12,T3,5.781,5.852,3.558,5.063666667,
2926,S12,T3,10.413,9.886,10.865,10.388,
3495,S12,T3,1.546,1.312,0.762,1.206666667,
3496,S12,T3,0.829,0.945,0.775,0.849666667,
3497,S12,T3,15.634,17.098,14.274,15.66866667,
3498,S12,T3,2.131,1.713,1.281,1.708333333,
3499,S12,T3,29.335,24.807,18.056,24.066,
3501,S12,T3,11.817,13.846,12.087,12.58333333,
3504,S12,T3,12.693,11.738,6.723,10.38466667,
3506,S12,T3,1.753,1.545,1.572,1.623333333,
3507,S12,T3,20.481,18.735,17.881,19.03233333,
3508,S12,T3,0.956,0.961,0.682,0.866333333,
3509,S12,T3,0.775,0.891,0.616,0.760666667,
3510,S12,T3,1.867,1.864,1.856,1.862333333,
3511,S12,T3,16.475,13.872,8.859,13.06866667,
3512,S12,T3,20.287,17.168,13.14,16.865,
3513,S12,T3,2.742,2.902,2.781,2.808333333,
3514,S12,T3,19.604,19.718,15.833,18.385,
3515,S12,T3,150,150,150,150,
3516,S12,T3,10.741,10.552,7.309,9.534,
3517,S12,T3,22.654,20.759,13.925,19.11266667,
3518,S12,T3,2.128,2.075,1.203,1.802,
3519,S12,T3,1.364,1.076,0.847,1.095666667,
3520,S12,T3,1.807,1.811,1.698,1.772,
3523,S12,T3,7.093,7.319,6.51,6.974,
3524,S12,T3,2.388,2.458,2.464,2.436666667,
3561,S12,T3,7.029,6.214,5.811,6.351333333,
3562,S12,T3,13.246,12.659,13.293,13.066,
3563,S12,T3,0.58,0.698,0.599,0.625666667,
3564,S12,T3,150,150,150,150,
3565,S12,T3,1.692,1.846,1.811,1.783,
3566,S12,T3,18.254,18.36,15.272,17.29533333,
3567,S12,T3,10.747,10.845,11.353,10.98166667,
3568,S12,T3,26.604,22.745,23.266,24.205,
3569,S12,T3,2.012,2.832,2.164,2.336,
3570,S12,T3,1.114,0.889,0.58,0.861,
3571,S12,T3,4.07,4.684,2.553,3.769,
3572,S12,T3,25.272,23.27,17.873,22.13833333,
3573,S12,T3,2.746,2.865,1.914,2.508333333,
3574,S12,T3,2.41,2.583,1.736,2.243,
3575,S12,T3,2.376,2.449,2.237,2.354,
3576,S12,T3,2.334,2.348,1.495,2.059,
3577,S12,T3,2.031,1.9,1.406,1.779,
3578,S12,T3,11.632,12.828,8.432,10.964,
3579,S12,T3,150,150,150,150,
3580,S12,T3,1.864,1.579,1.412,1.618333333,
3581,S12,T3,1.558,1.686,1.726,1.656666667,
3582,S12,T3,29.868,21.031,16.265,22.388,
3583,S12,T3,3.26,3.431,3.63,3.440333333,
3584,S12,T3,13.356,12.036,11.419,12.27033333,
3585,S12,T3,1.749,1.465,1.126,1.446666667,
3586,S12,T3,1.84,1.92,1.137,1.632333333,
3587,S12,T3,8.523,9.468,3.728,7.239666667,
3588,S12,T3,13.559,12.733,9.877,12.05633333,
3589,S12,T3,18.61,19.808,18.505,18.97433333,
3590,S12,T3,150,150,150,150,
3618,S12,T3,8.609,7.35,7.037,7.665333333,
3619,S12,T3,16.267,12.956,13.052,14.09166667,
3620,S12,T3,1.535,1.877,1.546,1.652666667,
3353,S14,T1,150,150,150,150,
3531,S14,T1,150,150,150,150,
3532,S14,T1,5.219,3.921,4.648,4.596,
3533,S14,T1,150,150,150,150,
3534,S14,T1,13.003,14.56,10.323,12.62866667,
3535,S14,T1,2.192,1.437,1.945,1.858,
3536,S14,T1,220.238,180.148,110.139,170.175,
3537,S14,T1,11.599,11.704,12.067,11.79,
3538,S14,T1,0.702,0.741,0.49,0.644333333,
3539,S14,T1,14.496,14.991,13.55,14.34566667,
3540,S14,T1,31.613,31.031,30.851,31.165,
3541,S14,T1,150,150,150,150,
3542,S14,T1,40.805,31.636,18.503,30.31466667,
3543,S14,T1,1.29,1.616,1.149,1.351666667,
3544,S14,T1,1.979,1.663,1.271,1.637666667,
3545,S14,T1,2.258,1.778,1.358,1.798,
3546,S14,T1,150,150,150,150,
3547,S14,T1,1.466,1.844,1.331,1.547,
3548,S14,T1,13.784,10.888,9.142,11.27133333,
3549,S14,T1,150,150,150,150,
3550,S14,T1,3.206,2.954,2.119,2.759666667,
3551,S14,T1,7.816,5.979,4.586,6.127,
3552,S14,T1,150,150,150,150,
3554,S14,T1,13.995,11.368,8.735,11.366,
3555,S14,T1,9.156,6.767,5.711,7.211333333,
3556,S14,T1,150,150,150,150,
3557,S14,T1,22.775,33.669,28.126,28.19,
3558,S14,T1,5.691,5.349,3.691,4.910333333,
3559,S14,T1,23.914,19.436,10.855,18.06833333,was a branch from a big colonie. Not all the colonies on the pic.
3560,S14,T1,27.308,20.897,20.077,22.76066667,
3591,S14,T1,5.713,5.415,4.714,5.280666667,
3592,S14,T1,1.058,1.763,0.971,1.264,
3593,S14,T1,150,150,150,150,
3594,S14,T1,15.018,13.918,12.733,13.88966667,
3595,S14,T1,1.103,1.072,0.74,0.971666667,
3596,S14,T1,3.661,3.28,2.871,3.270666667,
3597,S14,T1,2.016,1.724,1.182,1.640666667,
3598,S14,T1,2.926,2.076,2.501,2.501,
3599,S14,T1,1.077,0.959,1.176,1.070666667,
3600,S14,T1,3.558,3.355,3,3.304333333,
3601,S14,T1,3.974,3.776,4.166,3.972,
3602,S14,T1,150,150,150,150,
3603,S14,T1,20.223,16.506,11.126,15.95166667,
3604,S14,T1,19.763,22.474,13.737,18.658,
3605,S14,T1,31.74,25.779,12.678,23.399,do not have the full colonie on the pic
3606,S14,T1,22.542,24.682,18.566,21.93,
3607,S14,T1,150,150,150,150,do not have the full colonie on the pic
3608,S14,T1,18.045,16.937,16.954,17.312,
3609,S14,T1,150,150,150,150,do not have the full colonie on the pic
3610,S14,T1,18.27,13.499,13.111,14.96,
3611,S14,T1,6.428,6.321,4.907,5.885333333,
3612,S14,T1,19.422,30.895,25.085,25.134,
3613,S14,T1,150,150,150,150,
3614,S14,T1,28.447,30.181,20.717,26.44833333,
3615,S14,T1,0.938,0.858,0.412,0.736,
3616,S14,T1,12.032,12.32,11.179,11.84366667,
3617,S14,T1,22.918,16.857,11.853,17.20933333,do not have the full colonie on the pic
3621,S14,T1,25.941,24.143,24.201,24.76166667,
3622,S14,T1,16.938,14.034,14.533,15.16833333,
3623,S14,T1,27.254,20.944,15.636,21.278,
3624,S14,T1,2.995,2.795,2.22,2.67,
3625,S14,T1,13.704,12.872,8.481,11.68566667,
3626,S14,T1,11.072,10.616,8.928,10.20533333,
3627,S14,T1,27.629,27.921,10.754,22.10133333,
3628,S14,T1,18.019,16.684,18.817,17.84,
3629,S14,T1,35.31,39.369,16.228,30.30233333,
3630,S14,T1,20.391,18.733,19.53,19.55133333,
3631,S14,T1,3.808,3.854,1.735,3.132333333,
3632,S14,T1,5.998,5.827,4.424,5.416333333,
3633,S14,T1,3.835,3.07,3.074,3.326333333,
3634,S14,T1,1.98,1.992,2.053,2.008333333,
3635,S14,T1,1.657,1.335,0.703,1.231666667,
3636,S14,T1,5.616,4.447,4.201,4.754666667,
3637,S14,T1,14.432,17.714,12.021,14.72233333,
3638,S14,T1,1.978,1.954,1.857,1.929666667,
3639,S14,T1,17.869,21.243,20.921,20.011,
3640,S14,T1,13.044,14.113,6.639,11.26533333,
3641,S14,T1,10.895,9.97,10.902,10.589,
3642,S14,T1,1.158,1.059,0.921,1.046,
3643,S14,T1,1.993,2.04,1.141,1.724666667,
3644,S14,T1,5.247,5.332,3.731,4.77,
3645,S14,T1,15.601,15.62,12.423,14.548,
3646,S14,T1,16.942,14.719,13.279,14.98,
3647,S14,T1,3.809,3.526,2.234,3.189666667,
3648,S14,T1,12.321,12.058,5.327,9.902,
3649,S14,T1,150,150,150,150,
3650,S14,T1,33.014,34.287,12.271,26.524,
3706,S14,T1,19.397,17.921,14.029,17.11566667,
3707,S14,T1,15.39,17.529,14.128,15.68233333,
3708,S14,T1,4.656,4.717,2.445,3.939333333,
3709,S14,T1,1.384,1.736,0.827,1.315666667,
3710,S14,T1,20.239,15.523,15.607,17.123,
3711,S14,T1,1.063,0.905,0.562,0.843333333,
3712,S14,T1,150,150,150,150,
3713,S14,T1,2.314,2.423,1.719,2.152,
3714,S14,T1,150,150,150,150,do not have the full colonie on the pic
3715,S14,T1,11.968,12.474,7.165,10.53566667,
3716,S14,T1,1.984,1.598,0.584,1.388666667,
3717,S14,T1,15.672,19.619,14.768,16.68633333,
3718,S14,T1,7.429,5.996,4.24,5.888333333,
3719,S14,T1,12.936,15.66,7.682,12.09266667,
3720,S14,T1,1.193,1.121,0.478,0.930666667,
3721,S14,T1,0.88,0.82,0.423,0.707666667,
3722,S14,T1,1.349,1.259,0.801,1.136333333,
3723,S14,T1,1.856,1.845,1.699,1.8,
3724,S14,T1,16.691,15.169,13.9,15.25333333,
3725,S14,T1,21.986,18.55,19.184,19.90666667,
3726,S14,T1,150,150,150,150,do not have the full colonie on the pic
3727,S14,T1,11.665,10.406,8.788,10.28633333,
3728,S14,T1,10.057,9.42,4.222,7.899666667,
3729,S14,T1,9.986,8.804,4.83,7.873333333,
3730,S14,T1,1.867,1.541,1.333,1.580333333,
3731,S14,T1,27.479,24.544,13.374,21.799,
3732,S14,T1,19.897,16.897,13.264,16.686,
3681,S14,T2,37.807,38.017,23.879,33.23433333,
3682,S14,T2,3.595,3.632,1.195,2.807333333,
3683,S14,T2,30.988,23.124,26.67,26.92733333,
3684,S14,T2,19.224,18.806,10.653,16.22766667,
3685,S14,T2,27.29,21.207,16.737,21.74466667,
3686,S14,T2,12.645,13.986,13.17,13.267,
3687,S14,T2,1.106,0.725,0.864,0.898333333,
3688,S14,T2,9.437,10.576,6.002,8.671666667,
3689,S14,T2,3.38,3.306,2.211,2.965666667,
3690,S14,T2,1.011,1.072,0.644,0.909,
3691,S14,T2,2.382,2.896,2.227,2.501666667,
3692,S14,T2,150,150,150,150,
3693,S14,T2,12.649,12.448,7.979,11.02533333,
3694,S14,T2,27.293,24.293,18.722,23.436,
3695,S14,T2,28.437,29.182,11.052,22.89033333,
3696,S14,T2,1.024,1.041,0.83,0.965,
3697,S14,T2,2.739,2.78,2.302,2.607,
3698,S14,T2,150,150,150,150,
3699,S14,T2,1.181,0.776,0.68,0.879,
3700,S14,T2,20.557,18.888,20.047,19.83066667,
3701,S14,T2,150,150,150,150,
3702,S14,T2,150,150,150,150,
3703,S14,T2,8.172,9.323,3.714,7.069666667,
3704,S14,T2,27.133,31.118,25.162,27.80433333,
3705,S14,T2,18.715,19.193,10.456,16.12133333,
3733,S14,T2,1.19,1.235,1.107,1.177333333,
3734,S14,T2,1.94,2.033,1.443,1.805333333,
3735,S14,T2,150,150,150,150,do not have the full colonie on the pic
3736,S14,T2,150,150,150,150,do not have the full colonie on the pic
3737,S14,T2,4.802,4.604,3.324,4.243333333,
3738,S14,T2,150,150,150,150,do not have the full colonie on the pic
3739,S14,T2,0.903,0.735,0.554,0.730666667,
3740,S14,T2,1.419,1.518,1.133,1.356666667,
3741,S14,T2,150,150,150,150,do not have the full colonie on the pic
3742,S14,T2,1.748,1.991,1.394,1.711,
3743,S14,T2,150,150,150,150,do not have the full colonie on the pic
3744,S14,T2,13.502,13.424,8.906,11.944,
3745,S14,T2,1.923,1.54,1.591,1.684666667,
3746,S14,T2,4.205,4.202,3.01,3.805666667,
3747,S14,T2,0.813,0.756,0.4,0.656333333,
3748,S14,T2,2.623,2.452,1.952,2.342333333,
3749,S14,T2,12.612,13.821,9.866,12.09966667,
3750,S14,T2,4.908,5.194,4.384,4.828666667,
3751,S14,T2,3.935,3.656,2.187,3.259333333,
3752,S14,T2,45.877,44.399,43.169,44.48166667,
3753,S14,T2,20.755,24.122,16.061,20.31266667,
3754,S14,T2,2.767,2.681,2.165,2.537666667,
3755,S14,T2,0.86,0.553,0.354,0.589,
3756,S14,T2,8.945,9.298,4.971,7.738,
3757,S14,T2,35.46,32.216,12.619,26.765,
3758,S14,T2,1.599,1.553,1.225,1.459,
3759,S14,T2,28.578,25.196,18.711,24.16166667,
3760,S14,T2,1.756,1.902,1.627,1.761666667,
3761,S14,T2,20.573,22.086,14.974,19.211,
3762,S14,T2,20.258,17.137,15.172,17.52233333,
3763,S14,T2,0.788,0.755,0.523,0.688666667,
3764,S14,T2,0.957,0.968,0.696,0.873666667,
3765,S14,T2,150,150,150,150,do not have the full colonie on the pic
3766,S14,T2,150,150,150,150,do not have the full colonie on the pic
3767,S14,T2,4.289,4.943,3.358,4.196666667,
3768,S14,T2,0.445,0.474,0.393,0.437333333,
3769,S14,T2,13.76,14.234,13.956,13.98333333,
3770,S14,T2,0.767,0.761,0.557,0.695,
3771,S14,T2,150,150,150,150,do not have the full colonie on the pic
3772,S14,T2,3.567,3.44,1.271,2.759333333,
3818,S14,T2,,,,#DIV/0!,
3833,S14,T2,17.05,17.489,13.32,15.953,
3834,S14,T2,7.188,6.866,6.238,6.764,
3834,S14,T2,6.233,7.143,3.166,5.514,
3835,S14,T2,150,150,150,150,do not have the full colonie on the pic
3836,S14,T2,150,150,150,150,do not have the full colonie on the pic
3837,S14,T2,11.959,13.68,9.39,11.67633333,
3838,S14,T2,17.794,20.055,11.322,16.39033333,
3839,S14,T2,0.578,0.566,0.546,0.563333333,
3840,S14,T2,11.939,12.08,8.906,10.975,
3841,S14,T2,9.594,8.817,8.553,8.988,
3842,S14,T2,11.683,9.378,6.203,9.088,
3843,S14,T2,20.03,19.825,16.397,18.75066667,
3844,S14,T2,150,150,150,150,do not have the full colonie on the pic
3845,S14,T2,4.03,3.622,1.892,3.181333333,
3846,S14,T2,0.85,0.729,0.815,0.798,
3847,S14,T2,18.393,19.958,12.768,17.03966667,
3848,S14,T2,150,150,150,150,do not have the full colonie on the pic
3849,S14,T2,15.807,11.262,9.816,12.295,
3850,S14,T2,1.665,1.522,0.826,1.337666667,
3851,S14,T2,0.671,0.562,0.514,0.582333333,
3852,S14,T2,150,150,150,150,
3853,S14,T2,150,150,150,150,do not have the full colonie on the pic
3854,S14,T2,20.183,18.726,13.449,17.45266667,
3855,S14,T2,2.935,3.413,2.21,2.852666667,
3856,S14,T2,1.553,1.693,1.682,1.642666667,
3857,S14,T2,20.778,19.115,16.287,18.72666667,
3858,S14,T2,2.392,2.738,1.674,2.268,
3859,S14,T2,25.779,19.151,12.997,19.309,do not have the full colonie on the pic
3860,S14,T2,1.05,0.996,0.647,0.897666667,
3861,S14,T2,150,150,150,150,do not have the full colonie on the pic
3862,S14,T2,2.411,2.879,1.917,2.402333333,
3863,S14,T2,150,150,150,150,do not have the full colonie on the pic
3864,S14,T2,150,150,150,150,do not have the full colonie on the pic
3865,S14,T2,8.717,7.743,7.913,8.124333333,
3866,S14,T2,150,150,150,150,do not have the full colonie on the pic
3867,S14,T2,23.013,19.268,21.297,21.19266667,
3868,S14,T2,150,150,150,150,do not have the full colonie on the pic
3869,S14,T2,13.979,12.833,14.631,13.81433333,
3870,S14,T2,150,150,150,150,do not have the full colonie on the pic
3871,S14,T2,21.109,23.407,20.984,21.83333333,
3872,S14,T2,1.079,1.321,0.739,1.046333333,
3873,S14,T2,10.354,12.877,6.97,10.067,
3874,S14,T2,3.093,2.048,2.423,2.521333333,
3875,S14,T2,5.824,5.306,2.162,4.430666667,
3876,S14,T2,2.888,2.723,2.673,2.761333333,
3877,S14,T2,150,150,150,150,do not have the full colonie on the pic
3878,S14,T2,150,150,150,150,do not have the full colonie on the pic
3879,S14,T2,24.398,22.315,14.251,20.32133333,
3880,S14,T2,150,150,150,150,
3881,S14,T2,18.998,17.586,11.96,16.18133333,
3882,S14,T2,2.275,2.445,1.783,2.167666667,
3883,S14,T2,3.935,4.602,2.948,3.828333333,
3884,S14,T2,1.033,0.929,0.435,0.799,
3885,S14,T2,150,150,150,150,do not have the full colonie on the pic
3886,S14,T2,18.653,19.931,17.722,18.76866667,
3887,S14,T2,13.013,13.579,13.045,13.21233333,
3888,S14,T2,13.923,12.468,5.316,10.569,
3889,S14,T2,14.406,14.967,12.87,14.081,
3773,S14,T3,150,150,150,150,do not have the full colonie on the pic
3774,S14,T3,10.239,11.512,11.074,10.94166667,
3775,S14,T3,150,150,150,150,
3776,S14,T3,5.03,4.909,2.295,4.078,
3777,S14,T3,17.491,17.893,14.116,16.5,
3778,S14,T3,25.151,28.676,19.314,24.38033333,
3779,S14,T3,15.393,9.955,10.672,12.00666667,
3780,S14,T3,150,150,150,150,
3781,S14,T3,9.722,6.953,8.493,8.389333333,
3782,S14,T3,150,150,150,150,
3783,S14,T3,18.888,14.237,11.883,15.00266667,
3784,S14,T3,20.78,19.713,11.54,17.34433333,
3785,S14,T3,6.64,6.042,3.548,5.41,
3786,S14,T3,17.655,14.893,8.984,13.844,
3787,S14,T3,2.287,2.512,1.331,2.043333333,
3788,S14,T3,12.884,14.762,10.594,12.74666667,
3789,S14,T3,150,150,150,150,
3790,S14,T3,150,150,150,150,
3791,S14,T3,22.487,18.931,16.887,19.435,
3792,S14,T3,150,150,150,150,
3793,S14,T3,9.236,7.426,4.797,7.153,
3794,S14,T3,11.564,12.953,11.45,11.989,
3795,S14,T3,11.527,11.019,10.314,10.95333333,
3796,S14,T3,7.432,7.891,7.493,7.605333333,
3797,S14,T3,10.998,8.864,6.116,8.659333333,
3798,S14,T3,22.166,17.486,15.95,18.534,
3799,S14,T3,150,150,150,150,
3800,S14,T3,12.11,9.13,7.422,9.554,
3801,S14,T3,23.263,25.017,13.559,20.613,
3802,S14,T3,12.655,10.622,9.04,10.77233333,
3803,S14,T3,23.362,26.933,20.507,23.60066667,
3804,S14,T3,13.686,10.493,13.724,12.63433333,
3805,S14,T3,2.976,3.342,2.786,3.034666667,
3806,S14,T3,50.276,30.505,21.102,33.961,
3807,S14,T3,15.817,17.562,18.326,17.235,
3808,S14,T3,2.998,2.948,2.476,2.807333333,
3809,S14,T3,1.172,1.163,0.795,1.043333333,
3810,S14,T3,3.316,2.936,2.43,2.894,
3811,S14,T3,27.697,25.714,20.236,24.549,
3812,S14,T3,150,150,150,150,
3813,S14,T3,27.704,24.75,17.803,23.419,
3814,S14,T3,150,150,150,150,do not have the full colonie on the pic
3815,S14,T3,17.181,14.434,8.184,13.26633333,
3816,S14,T3,17.392,18.668,13.113,16.391,
3817,S14,T3,20.539,18.695,11.263,16.83233333,
3818,S14,T3,1.578,1.096,0.795,1.156333333,
3819,S14,T3,0.579,0.648,0.445,0.557333333,
3820,S14,T3,4.185,3.952,3.38,3.839,
3821,S14,T3,6.93,8.209,2.905,6.014666667,
3822,S14,T3,13.857,12.499,9.803,12.053,
3823,S14,T3,10.671,9.318,9.099,9.696,
3824,S14,T3,18.425,19.495,13.385,17.10166667,
3825,S14,T3,8.857,8.315,7.787,8.319666667,
3826,S14,T3,150,150,150,150,do not have the full colonie on the pic
3827,S14,T3,5.55,5.582,5.23,5.454,
3828,S14,T3,23.704,18.595,14.404,18.901,
3829,S14,T3,150,150,150,150,do not have the full colonie on the pic
3830,S14,T3,5.069,4.466,3.322,4.285666667,
3831,S14,T3,150,150,150,150,do not have the full colonie on the pic
3832,S14,T3,31.354,24.534,25.925,27.271,
3890,S14,T3,1.4,1.194,1.147,1.247,
3891,S14,T3,9.683,9.433,5.729,8.281666667,
3892,S14,T3,13.735,12.586,9.566,11.96233333,
3893,S14,T3,150,150,150,150,do not have the full colonie on the pic
3894,S14,T3,20.688,18.708,12.063,17.153,
3895,S14,T3,23.364,20.517,15.328,19.73633333,
3896,S14,T3,150,150,150,150,do not have the full colonie on the pic
3897,S14,T3,7.577,6.353,4.849,6.259666667,
3898,S14,T3,7.763,8.383,5.521,7.222333333,
3899,S14,T3,2.212,1.978,0.501,1.563666667,
3900,S14,T3,42.107,38.518,19.939,33.52133333,
3901,S14,T3,1.794,1.774,1.423,1.663666667,
3902,S14,T3,1.69,1.654,1.217,1.520333333,
3903,S14,T3,23.781,17.637,14.708,18.70866667,
3904,S14,T3,1.22,1.104,0.752,1.025333333,
3905,S14,T3,150,150,150,150,do not have the full colonie on the pic
3906,S14,T3,0.379,0.369,0.244,0.330666667,
3907,S14,T3,5.393,5.209,3.338,4.646666667,
3908,S14,T3,0.905,1.096,0.7,0.900333333,
3909,S14,T3,12.241,10.955,7.52,10.23866667,
3910,S14,T3,4.547,4.074,2.071,3.564,
3911,S14,T3,18.947,18.203,16.894,18.01466667,
3912,S14,T3,13.177,10.238,8.531,10.64866667,
3913,S14,T3,5.413,5.788,5.353,5.518,
3914,S14,T3,1.37,1.556,0.585,1.170333333,
3915,S14,T3,2.464,2.56,1.641,2.221666667,
3916,S14,T3,5.8,6.626,1.369,4.598333333,
3917,S14,T3,150,150,150,150,do not have the full colonie on the pic
3918,S14,T3,1.952,1.729,1.559,1.746666667,
3919,S14,T3,0.779,0.906,0.539,0.741333333,
3925,S14,T3,4.987,4.361,3.82,4.389333333,
3926,S14,T3,1.138,1.316,0.791,1.081666667,
3927,S14,T3,6.825,6.207,3.944,5.658666667,
3928,S14,T3,15.21,15.229,15.338,15.259,
3929,S14,T3,5.056,5.259,5.072,5.129,
3930,S14,T3,26.317,25.687,25.786,25.93,
3931,S14,T3,19.596,18.156,17.467,18.40633333,
3932,S14,T3,4.504,3.644,1.954,3.367333333,
3933,S14,T3,18.855,19.168,13.409,17.144,
3934,S14,T3,19.861,19.673,16.32,18.618,
3935,S14,T3,34.847,29.876,15.785,26.836,
3936,S14,T3,150,150,150,150,do not have the full colonie on the pic
3937,S14,T3,150,150,150,150,do not have the full colonie on the pic
3938,S14,T3,5.058,4.97,3.378,4.468666667,
3939,S14,T3,1.251,1.386,1.268,1.301666667,
3940,S14,T3,17.425,17.629,17.5,17.518,
3941,S14,T3,5.366,4.856,2.848,4.356666667,
3942,S14,T3,1.504,1.143,0.826,1.157666667,
3943,S14,T3,23.211,18.585,15.825,19.207,
3944,S14,T3,2.26,2.402,1.567,2.076333333,
3945,S14,T3,3.511,4.659,2.882,3.684,
3946,S14,T3,1.483,1.376,1.166,1.341666667,
3947,S14,T3,150,150,150,150,do not have the full colonie on the pic
3948,S14,T3,1.553,1.651,0.881,1.361666667,
3949,S14,T3,1.871,2.214,1.58,1.888333333,
3950,S14,T3,1.886,1.585,0.748,1.406333333,
1317,S15,T1,17.782,19.127,19.181,18.69666667,
1318,S15,T1,37.819,29.097,21.772,29.56266667,
1319,S15,T1,2.875,2.804,0.969,2.216,
1320,S15,T1,25.465,24.296,15.672,21.811,
1321,S15,T1,28.253,29.604,21.852,26.56966667,
1322,S15,T1,0.895,0.736,0.619,0.75,
1324,S15,T1,2.085,1.875,1.161,1.707,
1325,S15,T1,7.075,4.831,4.847,5.584333333,
1348,S15,T1,1.438,1.91,1.055,1.467666667,
1384,S15,T1,11.463,11.472,6.367,9.767333333,
1385,S15,T1,33.689,33.201,27.355,31.415,
1386,S15,T1,150,150,150,150,do not have the full colonie on the pic
1387,S15,T1,11.707,12.307,12.018,12.01066667,
1388,S15,T1,1.972,1.528,1.717,1.739,
1389,S15,T1,0.555,0.65,0.412,0.539,
1390,S15,T1,0.409,0.464,0.287,0.386666667,
1391,S15,T1,3.337,3.655,3.236,3.409333333,
1392,S15,T1,42.197,31.362,19.777,31.112,
1393,S15,T1,14.69,12.092,6.524,11.102,
1394,S15,T1,24.869,26.498,22.737,24.70133333,
1395,S15,T1,4.968,4.712,4.35,4.676666667,
1396,S15,T1,19.364,19.831,14.528,17.90766667,
1397,S15,T1,24.277,20.231,6.731,17.07966667,
1398,S15,T1,35.063,33.425,27.702,32.06333333,
1399,S15,T1,19.168,16.803,18.043,18.00466667,
1400,S15,T1,17.613,18.681,14.937,17.077,
1401,S15,T1,9.204,8.306,3.944,7.151333333,
1402,S15,T1,4.624,4.653,2.74,4.005666667,
1403,S15,T1,9.341,9.18,6.755,8.425333333,
1404,S15,T1,1.967,2.012,1.256,1.745,
1405,S15,T1,2.318,1.678,1.724,1.906666667,
1406,S15,T1,1.924,1.756,1.324,1.668,
1407,S15,T1,26.727,28.352,18.788,24.62233333,
1408,S15,T1,1.502,1.417,0.911,1.276666667,
